uuid,w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,seed,A,B,C,D,E,Ltx_uH,Lrx1_uH,Lrx2_uH,M1,M2,k1,k2,Lmt_uH,Lmr1_uH,Lmr2_uH,Llt_uH,Llr1_uH,Llr2_uH,Copperloss_Tx,Copperloss_Rx_1,Copperloss_Rx_2,Coreloss_W,B_mean_leg_left,B_mean_leg_center,B_mean_leg_right,B_mean_leg_top_left,B_mean_leg_bottom_left,B_mean_leg_top_right,B_mean_leg_bottom_right
6f06d2a2-6ed5-4c32-86a3-15ab68ea1040,10.4,10.6,4.6,18.8,22.4,34.0,0.0,0.51,14.0,19.0,0.14,0.01,2.0,14.0,0.175,0.06,0.1,0.44,2.2,1.8,4.5,3.7,29.0,17.0,1.5,3.7,0.5,1.1,1.65,3.0,3249366944,84.8,63.599999999999994,18.8,21.6,17.0,250.714476528533,10.1821558647283,10.1864623893365,49.6325850098264,49.6333994607427,0.982329800089025,0.982138244878828,241.932408763355,9.82549364068051,9.82581610818669,8.78206776517755,0.35666222404779,0.360646281149809,18.8827623170675,2.63119591036028,0.908127403869785,9.10694,0.0693120559359778,0.105799961072717,0.104519489154694,0.226288036138202,0.225503652442523,0.220188317558949,0.220059554902914
f4293267-75da-4a1c-a66f-3549d607ac63,17.6,8.2,3.4,22.4,5.6,19.6,0.0,0.5,14.0,28.0,0.07,0.05,2.0,24.0,0.175,0.07,0.1,0.28,0.6,1.4,2.5,2.8,18.0,19.0,1.0,2.0,3.8,1.1,0.48,1.1,1226839620,50.0,33.599999999999994,22.4,13.200000000000001,9.8,448.301869641659,18.1597399412606,18.1660713317543,89.1826103916561,89.1824364481505,0.988416741187293,0.98824255306742,437.976425983874,17.7414785323724,17.7414093257873,10.3254436577849,0.418261408888152,0.42466200596701403,10.98713558835,4.98674384398813,1.21826294909816,1.98987,0.0603730963617363,0.0515143358439894,0.0685625770734955,0.169220805849382,0.168973742719625,0.177705293678966,0.173987537980304
54d1a301-d86f-4aa2-91ed-c0634f8c11ad,26.0,4.6,3.4,21.2,14.0,43.6,0.0,0.51,14.0,15.0,0.07,0.03,2.0,33.0,0.07,0.01,0.1,0.24,1.2,1.5,4.6,3.8,14.0,16.0,2.5,0.1,3.4,4.1,0.4,2.9,4242529892,58.400000000000006,49.2,21.2,25.2,21.8,435.329285052753,17.5830371309104,17.5852097975947,86.6565716386202,86.6571893693264,0.990479781554681,0.990425652572802,427.079881151937,17.2498420528941,17.2500879845042,8.24940390081562,0.33319507801626796,0.335121813090502,15.5188110135212,1.56472137434053,0.395007570308836,2.72299,0.0623108254776999,0.0386647994048367,0.0835616759829365,0.124132950947477,0.120551547420997,0.119516348694895,0.122397340731326
68e1736f-ee54-4cb1-bf86-0618cfa951f3,20.0,8.2,2.2,21.2,23.6,26.8,0.0,0.5,14.0,28.0,0.175,0.06,2.0,17.0,0.14,0.1,0.1,0.47,3.0,2.1,5.0,4.9,1.0,26.0,0.3,2.1,1.9,5.0,0.46,3.2,1562896966,84.8,68.4,21.2,15.600000000000001,13.4,397.443634999255,16.1398512320657,16.1430046348898,78.7938829455862,78.7937448133863,0.983795804595699,0.983697987197166,384.667485491323,15.6210225624934,15.6209677926498,12.7761495079323,0.518828669572338,0.522036842239964,5.23137289495183,2.19751880880769,0.327246896744104,7.77997,0.049073664703649,0.0483189044146291,0.064468601159269,0.238368182319357,0.238431115612551,0.234995472086164,0.235081139959438
e151eee3-84f9-43cf-a173-5fd9dfbc54e8,24.8,9.4,2.2,9.2,12.8,28.0,0.0,0.51,14.0,13.0,0.14,0.07,2.0,13.0,0.14,0.03,0.1,0.29,1.0,0.3,4.9,3.4,2.0,17.0,0.4,1.6,0.5,1.4,0.21,1.5,1288036999,53.60000000000001,34.8,9.2,16.2,14.0,378.50041944845,15.3925595180978,15.398230098787,75.2631252858851,75.2613596230843,0.986037983843383,0.98583327898051,368.004945580282,14.9657377818846,14.9650356017285,10.4954738681677,0.426821736213199,0.433194497058497,8.12826015407774,4.21338422102179,0.633982060253138,3.85803,0.0337596658489726,0.0894534024722631,0.0440919392100806,0.188241166837338,0.188454146534444,0.196190426601635,0.19572021333495
a33dd18c-39da-444b-83a2-f0807f65a99e,17.6,10.6,13.0,3.2,10.4,11.2,0.0,0.51,14.0,25.0,0.105,0.08,2.0,13.0,0.07,0.06,0.1,0.34,1.2,2.1,2.7,2.9,23.0,8.0,2.3,0.6,2.7,0.1,0.49,1.2,1629916740,45.2,24.0,3.2,18.6,5.6,151.420176344465,6.1189218871903,6.12429573029438,29.4816240831188,29.4826386776135,0.968550067827012,0.968158358641449,142.045637222121,5.74009474537309,5.7404898368188,9.37453912234384,0.378827141817209,0.383805893475582,5.49360507628968,7.02358166453564,0.555147505074225,4.87158,0.0411847733405237,0.341925894819984,0.0594625459900931,0.0465125748073145,0.0464895292296693,0.0520175089974944,0.0516600105164362
ba232faa-03f2-4825-a985-ab03756a8aca,9.2,11.8,9.4,24.8,3.2,38.8,0.0,0.51,14.0,26.0,0.105,0.04,2.0,19.0,0.175,0.01,0.1,0.29,0.3,2.9,2.0,1.7,30.0,28.0,0.3,1.4,0.6,2.8,0.28,1.1,782025612,54.8,31.200000000000003,24.8,28.799999999999997,19.4,303.344853638134,12.2240091422107,12.2297710867316,59.3986698682581,59.3938024268101,0.975442269194511,0.975132542710649,288.628872988575,11.6309933720754,11.629087239842,14.7159806495589,0.593015770135321,0.6006838468896329,10.376622167676,4.39645424389426,0.968029516085015,3.27139,0.0748485232234381,0.0875276826195672,0.1021925359902,0.130294748362857,0.132443053902703,0.12738624735943,0.130574444712832
e7f5104a-6a60-4804-9c03-5fd0607b37fa,20.0,13.0,13.0,5.6,9.2,50.8,0.0,0.51,14.0,35.0,0.105,0.01,2.0,35.0,0.175,0.04,0.1,0.21,1.0,3.1,2.6,4.4,17.0,20.0,2.3,1.2,0.2,2.7,0.94,1.8,579675112,50.0,24.0,5.6,38.4,25.4,235.642404380129,9.48768900766462,9.48980384580728,46.4504149159014,46.4505052990535,0.982387108135804,0.982279549037403,227.41481556956,9.15642094017499,9.15645657331166,8.22758881056859,0.331268067489633,0.33334727249561796,33.6773707992759,4.06029649640528,1.49811351073215,5.73798,0.0330891180954925,0.177640452599585,0.0403178253722982,0.0419701341922471,0.0402859272201036,0.0438876455461333,0.0419681801199547
e0f31465-ea35-4788-9da1-9aefce66fe37,48.8,13.0,13.0,26.0,18.8,42.4,0.0,0.5,14.0,15.0,0.14,0.07,2.0,11.0,0.175,0.09,0.1,0.21,2.0,1.8,4.9,5.0,14.0,29.0,1.1,4.3,2.8,3.2,1.49,2.2,1751036632,89.6,63.6,26.0,34.2,21.2,1541.91076972101,61.9909365716335,62.0002915462136,307.726195924489,307.726638744342,0.995338374645628,0.995264712701046,1527.5686559233,61.4143266379098,61.4145033892103,14.3421137977056,0.5766099337237169,0.585788157003336,40.6679890122957,4.81500676008392,1.03924704520279,0.000200988,0.0133846338217424,0.0162088646325194,0.0165150847613635,0.016357381032559,0.0163321695705217,0.016447396619862,0.0164815653342988
e76111e9-4237-479b-8b65-d75dd4f6a6d9,18.8,2.2,8.2,22.4,21.2,28.0,0.0,0.51,14.0,14.0,0.175,0.08,2.0,14.0,0.175,0.04,0.1,0.41,2.6,0.4,3.9,4.8,1.0,6.0,4.1,0.3,1.7,5.0,0.21,2.8,3885782144,69.19999999999999,64.8,22.4,22.2,14.0,242.193695345333,9.84230638692445,9.84566030991289,47.2519366485132,47.2502949964824,0.96780922195367,0.967610747448389,226.85186065751,9.21884243869988,9.21820187792775,15.3418346878231,0.623463948224573,0.6274584319851411,8.79633161070197,2.64331126068758,0.787445729396326,4.49737,0.152435379315233,0.051235503507524,0.211737089861848,0.0642974616424606,0.0643122577177494,0.0676749415262802,0.0674239632125202
3ab2b4db-c55a-4489-81a3-1ef9c969dc39,21.2,9.4,13.0,5.6,18.8,34.0,0.0,0.51,14.0,16.0,0.175,0.04,2.0,28.0,0.07,0.05,0.1,0.18,2.3,2.0,4.5,4.5,29.0,27.0,2.7,2.7,3.3,4.3,0.8,2.0,1714047121,62.00000000000001,43.2,5.6,30.0,17.0,249.57877400186,10.0810189695962,10.0866710363598,49.0653333051497,49.0660831532128,0.978179853534565,0.97792069854562,238.805912339421,9.645880111293,9.6461749426658,10.7728616624388,0.43513885830319904,0.44049609369400006,3.97518301296299,5.40047529312371,0.723800003486784,3.84588,0.0442628328630136,0.165095578204573,0.0522294031224797,0.0381332295435941,0.0378012966296613,0.038739473309371,0.0385355903649355
af96ad17-6671-474f-aac5-6ab2667aca30,47.6,4.6,13.0,6.8,6.8,46.0,0.0,0.5,14.0,33.0,0.07,0.07,2.0,6.0,0.14,0.07,0.1,0.37,0.5,1.1,3.4,3.2,11.0,26.0,1.6,3.7,0.5,0.2,0.18,2.3,447873846,29.599999999999998,20.4,6.8,36.0,23.0,488.94341467681,19.7585167098851,19.761658953916,97.2201185355443,97.2194994473757,0.989121578254131,0.989036638323965,478.363410920245,19.3309719782459,19.330725783567,10.5800037565653,0.42754473163918405,0.430933170349035,27.0742264530489,4.58137025277266,1.50261111815644,1.22255,0.0355798139162058,0.0641229706995502,0.0478124376125712,0.0185674087564514,0.0189327187440769,0.0186742177777644,0.0186247654224484
34ca5f83-059f-4670-9f68-b8bcfaa328ce,8.0,10.6,13.0,5.6,18.8,18.4,0.0,0.5,14.0,25.0,0.105,0.09,2.0,13.0,0.175,0.01,0.1,0.44,1.7,2.8,3.6,4.0,28.0,28.0,1.4,3.2,4.5,1.9,0.34,2.9,4005706672,64.39999999999999,43.2,5.6,22.2,9.2,106.69932538032,4.30898453028775,4.31104388246053,20.6650737381798,20.6650983119207,0.963759462343608,0.963530390417539,99.105779935555,4.00232401734729,4.00233353602921,7.59354544476503,0.306660512940456,0.308710346431316,3.29391969012122,2.51052166370106,0.515333282082497,13.2659,0.0901589654812109,0.436489892221595,0.1200836662831,0.102626072887985,0.102326619100262,0.105883890375875,0.105528651672392
559fffab-3a16-44ff-8a81-740ccb3d7133,36.8,2.2,3.4,9.2,15.2,28.0,0.0,0.51,14.0,22.0,0.14,0.01,2.0,8.0,0.14,0.07,0.1,0.22,1.3,1.0,4.4,4.4,25.0,30.0,1.8,4.5,0.8,0.4,0.5,1.3,1122072110,44.0,39.599999999999994,9.2,17.4,14.0,341.889446028505,13.9669716757271,13.9742885944492,68.0502925139043,68.0493588450105,0.984772750701421,0.984501396283124,331.556647979446,13.5448530658704,13.5444813901361,10.3327980490594,0.422118609856672,0.429807204313149,5.34039489391629,5.09033933870811,0.377574183003584,2.37335,0.0817053674534991,0.0607392354862483,0.115612260038864,0.0820458121988985,0.082159629175712,0.0839074633202391,0.0841070462865587
15a754dc-515b-4ef6-a65d-8642bfa4ed68,36.8,5.8,2.2,22.4,24.8,47.2,0.0,0.5,14.0,9.0,0.14,0.09,2.0,25.0,0.105,0.03,0.1,0.17,1.6,0.9,4.1,4.8,15.0,3.0,0.5,1.4,2.4,3.0,0.44,3.5,2017863376,83.6,72.0,22.4,25.8,23.6,635.808167123181,25.6300390608233,25.6323681510561,126.70252468201,126.702383162693,0.992539006903152,0.992492803693849,626.356039594724,25.2490147042813,25.2489583009645,9.45212752845751,0.381024356541985,0.383409850091598,13.3919529963873,1.60454321403995,0.54780386151546,3.05008,0.0274850263066533,0.0254939640502262,0.0450392548297763,0.122234399569514,0.122497673798784,0.134611069805226,0.13416534670617
6cd4536b-8644-462f-92b2-9b6e14f896f7,34.4,2.2,10.6,10.4,3.2,18.4,0.0,0.51,14.0,31.0,0.175,0.08,2.0,8.0,0.14,0.04,0.1,0.48,0.2,3.8,1.6,4.8,19.0,22.0,0.4,3.9,4.2,0.5,0.19,1.2,2052142028,21.200000000000003,16.8,10.4,19.799999999999997,9.2,361.898043101283,14.5429656914085,14.5496445531069,70.8237840694277,70.8234559858672,0.976246567635601,0.976017952723827,344.909593844137,13.8602805003538,13.8601520881346,16.9884492571462,0.6826851910546731,0.6894924649723111,12.0494761933712,6.21400724820026,1.35933107252188,1.16239,0.0963249986192364,0.0553864197625754,0.123927831735743,0.0292893388732461,0.0291143465718911,0.0283345315101936,0.0285350631550859
a64d9a02-1806-42c5-bf39-6eb5c7c41503,45.2,9.4,8.2,11.6,21.2,43.6,0.0,0.51,14.0,33.0,0.07,0.03,2.0,28.0,0.105,0.1,0.1,0.26,2.1,0.8,4.3,4.0,18.0,24.0,2.1,2.9,1.0,4.8,0.36,3.2,2240012394,72.8,54.0,11.6,30.0,21.8,807.04698403669,32.491872742442,32.4948839548307,160.775492599495,160.776111266353,0.992848691202312,0.992806508166357,795.54537300787,32.0288155855808,32.0290620809204,11.5016110288196,0.46305715686124604,0.46582187391030405,16.0948040869068,4.17563963195658,1.26569182566521,0.000609715,0.0175072028700929,0.0392742672293845,0.0249606789330607,0.0276012372759087,0.0276595366978979,0.0288181520711895,0.0290320027027688
bb22bfdd-4b9d-4d10-851b-b66df5777292,39.2,4.6,5.8,18.8,26.0,13.6,0.0,0.51,14.0,27.0,0.105,0.03,2.0,10.0,0.07,0.06,0.1,0.13,2.9,3.0,4.7,4.0,7.0,16.0,4.2,1.9,1.2,1.8,0.34,3.9,552141481,80.0,70.8,18.8,12.6,6.8,668.563270708761,27.1776270108045,27.1788573719751,133.081616477764,133.082303032869,0.987281600794265,0.98726434706354,651.665306808933,26.490711381077,26.4909847077848,16.8979638998279,0.686915629727464,0.687872664190301,14.141225088502,4.59530204179784,1.16660358085472,0.0007857119999999999,0.0446419255275967,0.0291639415908549,0.05823934338686,0.0480954346541135,0.0480999885474961,0.0473697855708625,0.0473678781324219
0fa462b1-3c23-4dd0-85c3-26d1730e3827,22.4,3.4,11.8,14.0,11.6,29.2,0.0,0.5,14.0,34.0,0.07,0.01,2.0,22.0,0.07,0.02,0.1,0.11,1.5,1.0,3.1,4.9,12.0,12.0,0.1,0.1,2.8,2.2,0.44,1.0,992059997,44.0,37.2,14.0,26.4,14.6,300.041692783994,12.3561010449494,12.3614965534358,59.6605889490685,59.6607227610296,0.979841900755882,0.979630235402805,288.067073974328,11.8629709115532,11.8630241262201,11.9746188096657,0.493130133396162,0.49847242721571305,9.55539744582306,10.0845067406501,0.269060001918643,2.35018,0.105827755913881,0.0669882325734351,0.12550656349976,0.0398630193382029,0.0398085353685666,0.0401026389906295,0.0399972952990644
